# Picco 1, Picco2, Segnale combinato
1.653963869504250397e+02,1.203088425217106760e+03,1.653963869504250397e+02
1.146412206882616601e+03,nan,1.146412206882616601e+03
nan,5.789250634607971051e+02,nan
8.483152378402128306e+02,1.321389880827893421e+03,8.483152378402128306e+02
nan,nan,nan
nan,nan,nan
9.051818153673324332e+02,1.499504735087734844e+02,9.051818153673324332e+02
1.131287766738051687e+03,2.398180400023146603e+02,1.131287766738051687e+03
1.051384022655575336e+03,1.086166541468442801e+03,1.051384022655575336e+03
2.510932175224423872e+02,1.181265645583035166e+03,2.510932175224423872e+02
nan,1.262045215997965215e+03,nan
9.420995183061049829e+02,1.128727326425741921e+02,9.420995183061049829e+02
nan,nan,nan
nan,nan,nan
7.302942890225635892e+02,nan,7.302942890225635892e+02
1.684460360481849648e+02,9.620949680312198780e+02,1.684460360481849648e+02
8.579928626584636504e+02,8.467137937334798607e+02,8.579928626584636504e+02
nan,4.735080940562506839e+02,nan
nan,1.227889457772877222e+03,nan
5.108624310192701046e+02,nan,5.108624310192701046e+02
nan,9.119564439681880685e+00,nan
nan,9.620066685829442577e-02,nan
9.257460982352782821e+02,5.252067700221565474e+02,9.257460982352782821e+02
nan,1.214036125889147570e+03,nan
6.802359359163581303e+02,3.111189923371205168e+02,6.802359359163581303e+02
1.080499535396839974e+03,1.238546439517172075e+02,1.080499535396839974e+03
nan,nan,nan
9.712446385526857284e+01,4.919342312778098858e-01,9.712446385526857284e+01
1.071169417453258347e+03,nan,1.071169417453258347e+03
nan,1.408133124480762035e+02,nan
nan,nan,nan
1.092782864968064814e+03,3.280126639359725687e+02,1.092782864968064814e+03
9.688103881626375369e-02,1.110562885889799190e+03,9.688103881626375369e-02
2.032935316680867572e+02,1.287424474664055879e+03,2.032935316680867572e+02
1.102607210942856682e+03,1.262415653516322436e+03,1.102607210942856682e+03
1.074567035665912272e+03,nan,1.074567035665912272e+03
1.004252886752653012e+03,2.352332455046921496e+02,1.004252886752653012e+03
nan,nan,nan
nan,nan,nan
1.109628307543113351e+03,2.456903549544796306e+02,1.109628307543113351e+03
9.613700931315036087e+02,nan,9.613700931315036087e+02
nan,nan,nan
4.777963824955637619e+02,nan,4.777963824955637619e+02
nan,5.522582352120307405e+02,nan
nan,1.256250890406350663e+03,nan
1.128007046888223613e+03,9.349822897848700904e+02,1.128007046888223613e+03
7.660304576693158651e+02,3.258225020275513089e+02,7.660304576693158651e+02
nan,1.976468817515701630e+02,nan
nan,3.598105670271431791e+02,nan
7.146230523686551805e+01,6.546125625917188700e+02,7.146230523686551805e+01
8.089042555269658124e+02,nan,8.089042555269658124e+02
3.413133991299558829e+02,1.254540274924144796e+03,3.413133991299558829e+02
1.112944637355285295e+03,1.284574899235227349e+03,1.112944637355285295e+03
1.049400606013557990e+03,1.224141411948507084e+03,1.049400606013557990e+03
6.078485421975453846e+02,nan,6.078485421975453846e+02
4.851418173995908774e+02,1.253852468425406187e+03,4.851418173995908774e+02
nan,5.885366378135790910e+01,nan
8.704057803379214420e+00,1.269560436984827447e+02,8.704057803379214420e+00
nan,nan,nan
1.046255625204979879e+03,9.050525948337194677e+02,1.046255625204979879e+03
nan,3.362200915229991551e+02,nan
nan,1.271307333730755090e+03,nan
1.101942700009043165e+03,8.928326944436971644e+02,1.101942700009043165e+03
8.948377828044840498e+00,4.357128077095961771e+02,8.948377828044840498e+00
nan,9.706743538362615027e+02,nan
nan,9.255456705620349567e+02,nan
2.682867220311950405e+02,nan,2.682867220311950405e+02
2.178009641906817251e+02,3.100255564258151253e+02,2.178009641906817251e+02
1.049991508329460203e+03,nan,1.049991508329460203e+03
1.119331406946679408e+03,9.654653328696397239e+02,1.119331406946679408e+03
1.054363614861642645e+03,nan,1.054363614861642645e+03
nan,nan,nan
1.062056571859042606e+03,6.692296009896034548e+02,1.062056571859042606e+03
nan,8.781488910824174354e+02,nan
5.922683176586201625e+01,1.299742269486648865e+03,5.922683176586201625e+01
nan,9.541446958820407644e+02,nan
1.097672786055455845e+03,8.670463026443235321e+02,1.097672786055455845e+03
1.067728154026636503e+03,6.299085048086471943e+02,1.067728154026636503e+03
3.647831456880476253e+02,nan,3.647831456880476253e+02
nan,nan,nan
5.373077952563107829e+01,3.030290667999452126e+00,5.373077952563107829e+01
nan,9.695516320470840128e+02,nan
1.504479451056606649e+02,6.924775846690095022e+02,1.504479451056606649e+02
9.245665150923548481e+02,8.102034896841209957e+02,9.245665150923548481e+02
